text,label
"Wygrałeś nowego iPhone'a! Kliknij w link, aby odebrać nagrodę.",1
"Jutro mamy zaplanowane spotkanie zespołu o 14:00.",0
"Otrzymaj darmowy kupon do Biedronki! Kliknij teraz!",1
"Twoje zamówienie zostało wysłane. Sprawdź szczegóły w załączniku.",0
"Zainwestuj teraz i zarabiaj 5000 zł miesięcznie!",1
"Spotkanie z klientem zostało przełożone na piątek.",0
"Zdobądź kartę podarunkową do Allegro – tylko dziś!",1
"Twój raport miesięczny jest gotowy do przeglądu.",0
"Zostałeś wybrany do udziału w ekskluzywnej promocji!",1
"Proszę zatwierdź zmiany w dokumencie budżetowym.",0
"Kliknij tutaj, aby aktywować swoją nową kartę kredytową!",1
"Załączam wyniki testów jednostkowych do sprawdzenia.",0
"Twoja pożyczka została zaakceptowana! Skontaktuj się z nami.",1
"Uzupełnij dane klienta w systemie CRM do końca dnia.",0
"Darmowy dostęp do filmów online przez 30 dni!",1
"Podsumowanie sprintu zostało udostępnione na Confluence.",0
"Wyjątkowa oferta! 3 produkty w cenie 1!",1
"Przypomnienie: rejestracja na szkolenie kończy się dziś.",0
"Odebrałeś darmowe punkty lojalnościowe! Kliknij aby użyć.",1
"Raport finansowy za II kwartał jest już dostępny.",0
"Wygrana czeka! Potwierdź swoje dane i odbierz nagrodę.",1
"Twoje konto zostało pomyślnie zaktualizowane.",0
"Kliknij i odbierz bon na zakupy – tylko teraz!",1
"Uwaga: zmiana lokalizacji spotkania działu marketingu.",0
"Gratulacje! Wygrałeś wycieczkę do Egiptu!",1
"Zamówienie nr 14253 zostało dostarczone.",0
"Nie przegap tej szansy – zarabiaj z domu!",1
"Zapisz się na demo nowego systemu sprzedaży.",0
"Sprawdź swoją historię kredytową bez opłat!",1
"Nowe zgłoszenia do sprintu zostały zatwierdzone.",0
"Kliknij i wygraj hulajnogę elektryczną!",1
"Plan spotkania tygodniowego – wersja robocza.",0
"Natychmiastowa wygrana! Potwierdź teraz.",1
"Dokumentacja API została zaktualizowana.",0
"Twoje konto może zostać zamknięte! Sprawdź szczegóły!",1
"Lista obecności z dzisiejszego spotkania.",0
"Otrzymaj pieniądze bez wychodzenia z domu!",1
"Nowe pliki zostały dodane do projektu.",0
"Nie uwierzysz ile możesz zarobić dziennie!",1
"Spotkanie zarządu w czwartek o 12:00.",0
"Kliknij aby aktywować specjalną promocję!",1
"Prezentacja wyników kwartalnych – wersja finalna.",0
"Promocja! Laptop za 1 zł!",1
"Potwierdzenie udziału w warsztatach QA.",0
"Wygraj zegarek Apple Watch!",1
"Zestawienie czasu pracy za poprzedni miesiąc.",0
"Nowy partner programu lojalnościowego – poznaj ofertę!",1
"Zmiana godzin pracy w przyszłym tygodniu.",0
"Pilne! Twoje dane mogą zostać usunięte!",1
"Notatki po spotkaniu projektowym z klientem.",0
"Zyskaj dostęp do premium bez opłat!",1
"Plan wdrożenia nowego CRM gotowy do przeglądu.",0
"Darmowy dostęp do porad finansowych – kliknij!",1
"Zadania dla zespołu front-end na przyszły tydzień.",0
